"RunTime","Sp1","Sp2","Sp3","log.lambda.Sp1","log.lambda.Sp2","log.lambda.Sp3"
1,15559.9428628218,14440.0571371782,649.2,NA,NA,NA
2,14235.6801046087,15764.3198953913,672.476583968002,-0.0889483501689166,0.0877430615821815,0.0352264558509138
3,11512.283079148,15397.1656860462,1521.1675069226,-0.212336937317652,-0.0235657057869924,0.816266124173303
4,8958.07522488987,14929.3257834958,781.533853592199,-0.250859173942457,-0.0308559940955587,-0.665974948005332
5,6883.08586518463,14433.339401602,406.366935866249,-0.263488306955831,-0.0337866852502139,-0.654001933301667
6,6107.80271165866,14039.3095389538,1188.45327663056,-0.119499991459159,-0.0276795475233777,1.0731514387801
7,32.6545536001844,13512.0993127641,715.999301005387,-5.23133805274797,-0.0382756898049592,-0.506728782427041
8,0,12949.0044850208,357.999650502694,-Inf,-0.0425666179991864,-0.693147180559944
9,63.1946114680421,12736.3228616068,178.999825251347,Inf,-0.0165609323517237,-0.693147180559945
10,123.495303516474,13503.3716526801,187.055983256789,0.669984091202029,0.0584814272165924,0.0440231181645559
11,12.3495303516474,13965.8194281893,147.218314591677,-2.30258509299405,0.0336734686419312,-0.239491329419685
12,179.20537658281,14399.3527046032,93.4749812159181,2.67491446919882,0.0305703795485618,-0.454222798425536
