"ChangeStep","Species","A.Eigen","Is.Irreducible","Is.Ergodic","Max.Local.Eigen","Median.Local.Eigen","Min.Local.Eigen","Max.Seed.Export","Median.Seed.Export","Min.Seed.Export","Max.Seed.Import","Median.Seed.Import","Min.Seed.Import","Prop.Dispersing"
1,1,1.72814071263082,0,0,1.69549006834478,1.69549006834478,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
1,2,1.10808609225105,0,0,1.1010337143227,1.1010337143227,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
1,3,1.76133174750101,1,1,1.7278292812304,1.7278292812304,1.61889817504928,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
2,1,1.66597687426844,0,0,1.64845167075449,1.61625233063294,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
2,2,1.09409470291262,0,0,1.08969337139944,1.08522843483191,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
2,3,1.71985003576712,1,1,1.70006211856752,1.67519128536196,1.54612703627524,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
3,1,1.69953611284009,0,0,1.69477723165512,0.860927708624904,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
3,2,1.10270781328513,0,0,1.10122120520564,1.02052802514399,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
3,3,1.73047083909216,0,0,1.72515528135544,1.43595462104033,0.5,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
4,1,1.57350001152854,0,0,1.56973422474494,0.795419122578909,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
4,2,1.08258391789848,0,0,1.08211172755092,1.00353731724479,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
4,3,1.60231585363569,0,0,1.59675821750968,1.50647621452084,0.5,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
5,1,1.47666487088253,0,0,1.47505372979003,0.712523538544787,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
5,2,1.05849526957135,0,0,1.05789500143157,0.996607604376564,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
5,3,1.48904198292893,0,0,1.48647240734481,1.38937816912949,0.5,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
6,1,1.60903350824689,0,0,1.60883900851367,0.541265423226121,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
6,2,1.08016956934586,0,0,1.08015429708788,0.958033108372273,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
6,3,1.67027341775054,0,0,1.66947852395522,1.18965553628206,0.5,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
7,1,0.1,0,0,0.1,0.0723614772769345,0,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
7,2,1.09806769610142,0,0,1.09775730718797,1.00335318159145,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
7,3,1.08118318499092,0,0,1.08118306602158,0.0667018391527598,0,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
8,1,0.1,0,0,0.1,0.0553292694849198,0,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
8,2,1.03072120939449,0,0,1.03065578846083,0.96823080099162,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
8,3,1.33465644029976,0,0,1.33465639380427,0.0523109689111077,0,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
9,1,1.63224321062206,0,0,1.63224321062206,0.1,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
9,2,1.09063506369999,0,0,1.09063506369999,0.95,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
9,3,1.68544780392199,0,0,1.68512596183011,0.862431710610327,0.5,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
10,1,1.41979817441325,0,0,1.41979817441325,0.1,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
10,2,1.05203418832175,0,0,1.05203418832175,0.95,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
10,3,1.51346441338379,0,0,1.5131357770653,0.819204049471602,0.5,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
11,1,1.34833040770218,0,0,1.34633000359201,0.670729118422573,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
11,2,1.02428553007966,0,0,1.02215863885561,0.985908610937913,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
11,3,1.4168959427911,0,0,1.41311580757672,0.932914135051055,0.5,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
12,1,1.5455495427513,0,0,1.53907407665767,0.798602287979834,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
12,2,1.07857604806725,0,0,1.0769534719494,1.01021504776722,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
12,3,1.5735075287922,0,0,1.56706582879899,1.0169138099927,0.5,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
