Scenario,Scenario.Number,Scale,Timepoint,LastTime,Sp.Rich,Beta.Div,Biomass,FTD.UTC,RTD.UTC
"Example2_1",1,"landscape","Initial",12,3,1.71428571428571,305000,3,3
"Example2_1",1,"landscape","Final",12,3,1.2,206044.654558723,3,3
"Example2_1",1,"landscape","Change",12,0,-0.514285714285714,-98955.3454412771,0,0
"Example2_2",2,"landscape","Initial",12,3,1.71428571428571,305000,3,3
"Example2_2",2,"landscape","Final",12,3,1.5,146720.33062402,3,3
"Example2_2",2,"landscape","Change",12,0,-0.214285714285714,-158279.66937598,0,0
"Example2_3",3,"landscape","Initial",12,3,1.71428571428571,305000,3,3
"Example2_3",3,"landscape","Final",12,3,1.33333333333333,190526.127894705,3,3
"Example2_3",3,"landscape","Change",12,0,-0.380952380952381,-114473.872105295,0,0
"Example2_4",4,"landscape","Initial",12,3,1.71428571428571,305000,3,3
"Example2_4",4,"landscape","Final",12,3,1.5,143397.255331922,3,3
"Example2_4",4,"landscape","Change",12,0,-0.214285714285714,-161602.744668078,0,0
"Example2_5",5,"landscape","Initial",12,3,1.71428571428571,305000,3,3
"Example2_5",5,"landscape","Final",12,3,1.2,169146.043647591,3,3
"Example2_5",5,"landscape","Change",12,0,-0.514285714285714,-135853.956352409,0,0
"Example2_6",6,"landscape","Initial",12,3,1.71428571428571,305000,3,3
"Example2_6",6,"landscape","Final",12,3,1.5,133676.833417988,3,3
"Example2_6",6,"landscape","Change",12,0,-0.214285714285714,-171323.166582012,0,0
"Example2_7",7,"landscape","Initial",12,3,1.71428571428571,305000,3,3
"Example2_7",7,"landscape","Final",12,3,1.5,149188.917454504,3,3
"Example2_7",7,"landscape","Change",12,0,-0.214285714285714,-155811.082545496,0,0
"Example2_8",8,"landscape","Initial",12,3,1.71428571428571,305000,3,3
"Example2_8",8,"landscape","Final",12,3,1.5,183460.368514527,3,3
"Example2_8",8,"landscape","Change",12,0,-0.214285714285714,-121539.631485473,0,0
"Example2_9",9,"landscape","Initial",12,3,1.71428571428571,305000,3,3
"Example2_9",9,"landscape","Final",12,3,1.71428571428571,134186.539123581,3,3
"Example2_9",9,"landscape","Change",12,0,0,-170813.460876419,0,0
"Example2_10",10,"landscape","Initial",12,3,1.71428571428571,305000,3,3
"Example2_10",10,"landscape","Final",12,3,1.5,142996.754240568,3,3
"Example2_10",10,"landscape","Change",12,0,-0.214285714285714,-162003.245759432,0,0
